#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3
-10.226531	-10.701251	-10.225625	-10.699938	 -0.783031	 -0.881421	 -0.598780	 -0.716802
-10.216531	-10.704541	-10.215625	-10.703218	 -0.773031	 -0.884650	 -0.588780	 -0.718895
-10.206531	-10.707760	-10.205625	-10.706428	 -0.763031	 -0.887725	 -0.578780	 -0.720902
-10.196531	-10.710911	-10.195625	-10.709572	 -0.753031	 -0.890665	 -0.568780	 -0.722833
-10.186531	-10.713999	-10.185625	-10.712652	 -0.743031	 -0.893486	 -0.558780	 -0.724697
-10.176531	-10.717025	-10.175625	-10.715670	 -0.733031	 -0.896202	 -0.548780	 -0.726501
-10.166531	-10.719991	-10.165625	-10.718629	 -0.723031	 -0.898826	 -0.538780	 -0.728250
-10.156531	-10.722901	-10.155625	-10.721532	 -0.713031	 -0.901371	 -0.528780	 -0.729949
-10.146531	-10.725756	-10.145625	-10.724381	 -0.703031	 -0.903853	 -0.518780	 -0.731602
-10.136531	-10.728559	-10.135625	-10.727177	 -0.693031	 -0.906292	 -0.508780	 -0.733212
-10.126531	-10.731310	-10.125625	-10.729923	 -0.683031	 -0.908726	 -0.498780	 -0.734782
-10.116531	-10.734013	-10.115625	-10.732620	 -0.673031	 -0.911241	 -0.488780	 -0.736316
-10.106531	-10.736669	-10.105625	-10.735270	 -0.663031	 -0.914136	 -0.478780	 -0.737815
-10.096531	-10.739279	-10.095625	-10.737874	 -0.653031	 -0.919948	 -0.468780	 -0.739282
-10.086531	-10.741844	-10.085625	-10.740435	 -0.643031	 -0.910734	 -0.458780	 -0.740718
-10.076531	-10.744368	-10.075625	-10.742953	 -0.633031	 -0.916279	 -0.448780	 -0.742126
-10.066531	-10.746850	-10.065625	-10.745430	 -0.623031	 -0.918945	 -0.438780	 -0.743506
