#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-0.425467	-0.530111	-0.374634	-0.452952	-0.346139	-0.449977	-0.346139	-0.449977	-0.257286	-0.342668	-0.257285	-0.342666	+0.002153	+0.068026	+0.002154	+0.068027	+0.067115	+0.121410	+0.099984	+0.149180	+0.099984	+0.149181
-0.415467	-0.531724	-0.364634	-0.455365	-0.336139	-0.451328	-0.336139	-0.451328	-0.247286	-0.344051	-0.247285	-0.344050	+0.012153	+0.066795	+0.012154	+0.066796	+0.077115	+0.120781	+0.109984	+0.148573	+0.109984	+0.148574
-0.405467	-0.533296	-0.354634	-0.457671	-0.326139	-0.452657	-0.326139	-0.452657	-0.237286	-0.345423	-0.237285	-0.345422	+0.022153	+0.065552	+0.022154	+0.065552	+0.087115	+0.120135	+0.119984	+0.147946	+0.119984	+0.147946
-0.395467	-0.534830	-0.344634	-0.459882	-0.316139	-0.453965	-0.316139	-0.453965	-0.227286	-0.346786	-0.227285	-0.346785	+0.032153	+0.064295	+0.032154	+0.064296	+0.097115	+0.119471	+0.129984	+0.147296	+0.129984	+0.147297
-0.385467	-0.536329	-0.334634	-0.462007	-0.306139	-0.455253	-0.306139	-0.455253	-0.217286	-0.348141	-0.217285	-0.348140	+0.042153	+0.063024	+0.042154	+0.063024	+0.107115	+0.118788	+0.139984	+0.146623	+0.139984	+0.146623
-0.375467	-0.537795	-0.324634	-0.464056	-0.296139	-0.456523	-0.296139	-0.456523	-0.207286	-0.349489	-0.207285	-0.349487	+0.052153	+0.061737	+0.052154	+0.061737	+0.117115	+0.118084	+0.149984	+0.145924	+0.149984	+0.145924
-0.365467	-0.539230	-0.314634	-0.466034	-0.286139	-0.457775	-0.286139	-0.457775	-0.197286	-0.350830	-0.197285	-0.350829	+0.062153	+0.060433	+0.062154	+0.060433	+0.127115	+0.117358	+0.159984	+0.145197	+0.159984	+0.145197
-0.355467	-0.540636	-0.304634	-0.467949	-0.276139	-0.459010	-0.276139	-0.459010	-0.187286	-0.352167	-0.187285	-0.352165	+0.072153	+0.059110	+0.072154	+0.059111	+0.137115	+0.116608	+0.169984	+0.144438	+0.169984	+0.144439
-0.345467	-0.542016	-0.294634	-0.469807	-0.266139	-0.460229	-0.266139	-0.460229	-0.177286	-0.353500	-0.177285	-0.353498	+0.082153	+0.057768	+0.082154	+0.057769	+0.147115	+0.115832	+0.179984	+0.143646	+0.179984	+0.143646
-0.335467	-0.543370	-0.284634	-0.471612	-0.256139	-0.461433	-0.256139	-0.461433	-0.167286	-0.354830	-0.167285	-0.354829	+0.092153	+0.056405	+0.092154	+0.056406	+0.157115	+0.115028	+0.189984	+0.142815	+0.189984	+0.142815
-0.325467	-0.544700	-0.274634	-0.473369	-0.246139	-0.462622	-0.246139	-0.462622	-0.157286	-0.356159	-0.157285	-0.356158	+0.102153	+0.055019	+0.102154	+0.055020	+0.167115	+0.114193	+0.199984	+0.141942	+0.199984	+0.141943
-0.315467	-0.546007	-0.264634	-0.475081	-0.236139	-0.463798	-0.236139	-0.463798	-0.147286	-0.357487	-0.147285	-0.357486	+0.112153	+0.053608	+0.112154	+0.053609	+0.177115	+0.113324	+0.209984	+0.141022	+0.209984	+0.141022
-0.305467	-0.547293	-0.254634	-0.476754	-0.226139	-0.464960	-0.226139	-0.464960	-0.137286	-0.358817	-0.137285	-0.358815	+0.122153	+0.052170	+0.122154	+0.052171	+0.187115	+0.112419	+0.219984	+0.140048	+0.219984	+0.140049
-0.295467	-0.548560	-0.244634	-0.478388	-0.216139	-0.466110	-0.216139	-0.466110	-0.127286	-0.360148	-0.127285	-0.360147	+0.132153	+0.050704	+0.132154	+0.050705	+0.197115	+0.111473	+0.229984	+0.139014	+0.229984	+0.139014
-0.285467	-0.549807	-0.234634	-0.479989	-0.206139	-0.467249	-0.206139	-0.467248	-0.117286	-0.361482	-0.117285	-0.361481	+0.142153	+0.049207	+0.142154	+0.049208	+0.207115	+0.110483	+0.239984	+0.137909	+0.239984	+0.137910
-0.275467	-0.551037	-0.224634	-0.481558	-0.196139	-0.468376	-0.196139	-0.468375	-0.107286	-0.362821	-0.107285	-0.362820	+0.152153	+0.047677	+0.152154	+0.047677	+0.217115	+0.109442	+0.249984	+0.136724	+0.249984	+0.136724
-0.265467	-0.552249	-0.214634	-0.483098	-0.186139	-0.469492	-0.186139	-0.469492	-0.097286	-0.364165	-0.097285	-0.364164	+0.162153	+0.046110	+0.162154	+0.046111	+0.227115	+0.108346	+0.259984	+0.135443	+0.259984	+0.135443
